Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00014052570099454826,0.00014534506801118123,0.0,3.8285328187861514e-05,3.9559620493526316e-05
del_V,0.0,-9.816727006524421e-05,-8.436385794445454e-05,0.05,0.00010268812892111597,7.538324311867715e-05
1,0.005,-0.049032552522057196,-0.0670333304020593,0.0,-0.0,-0.0
U,1.0,0.5302745220849425,0.5238593340012303,10.0,0.15820239960749027,0.15597299275984805
V,-1.0,-0.4358512843457661,-0.38623259209637395,-10.0,-0.28239196955496476,-0.2307745898318516
U^2,0.0,0.05769453930443088,0.07434363416052735,0.0,0.01628470358384437,0.02919331170185395
V^2,0.0,-0.0,-0.0,0.0,-0.255641560840939,-0.3438681371486554
UV,0.0,0.0,0.0,0.0,-0.0,-0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5526409828108008,-0.5610422343347802,0.0,-0.0,-0.0
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.016524422997280207
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
