,mae,ssim,hist
0,0.31071217643341686,0.22007925488479133,0.973
1,0.2804265986604738,0.2779732019375939,0.973
2,0.3023127564074721,0.25072555917481393,0.986
3,0.29124531541264115,0.2529907354579884,0.982
4,0.27234696069718395,0.31840454293095777,0.956
5,0.26721464707080866,0.3180783602486516,0.982
6,0.2920042559656096,0.3268838831636037,0.961
7,0.31366023862751113,0.22625370680095844,0.964
8,0.2879282926064814,0.31193418205140294,0.98
9,0.3092141079594512,0.24691936794298053,0.978
10,0.28571227389129705,0.2370767558194894,0.991
11,0.31266931697026684,0.2648066470606748,0.989
12,0.3014590160257249,0.293640823032993,0.97
13,0.29339584410920955,0.26269665899555655,0.976
14,0.276548446511473,0.22179632822723677,0.989
15,0.29048284481781556,0.31426457346203207,0.982
16,0.3006749266839144,0.22338809396272336,0.981
17,0.2726720934701815,0.29115542204004835,0.988
18,0.2874804302920096,0.2783632494890734,0.966
19,0.27860168705664523,0.3214241752338205,0.983
20,0.29963616290108813,0.18767943273700047,0.927
21,0.3173303605045288,0.24095335457556133,0.964
22,0.311847115247092,0.27274929406496307,0.981
23,0.31885284619703264,0.15651857582480713,0.976
24,0.31053810267204074,0.2465700417258394,0.977
25,0.3105407408898509,0.22242005325609956,0.984
26,0.2938236959797724,0.2863015852448209,0.974
27,0.3038689827694683,0.31638971863498533,0.973
28,0.2824426530571718,0.31795530575423786,0.97
29,0.272523867628086,0.3082556140594133,0.98
30,0.3089061088658704,0.2689520141394479,0.958
31,0.3150488194161234,0.19138113133480103,0.973
32,0.2615358722179605,0.3574270910384814,0.979
33,0.26849848708046226,0.2839375693188856,0.953
34,0.29555127383613705,0.30227915179202225,0.963
35,0.2899656652496599,0.28526043507962495,0.988
36,0.289260341847991,0.22510611935415983,0.975
37,0.2902863660270984,0.2263848124689147,0.992
38,0.28545653157726963,0.34174460797747447,0.96
39,0.27799591408283236,0.32654276378296276,0.964
40,0.2927205993863646,0.28904355577196644,0.983
41,0.27785256216001863,0.31079075730848094,0.97
42,0.29850732208140107,0.23938263478617472,0.976
43,0.295531739997828,0.2867142277070747,0.978
44,0.29889692652438277,0.2549443317703581,0.964
45,0.2984904714432473,0.2649831647887956,0.967
46,0.2902801219158732,0.29817642653435267,0.968
47,0.2685712975336263,0.3374026421688348,0.971
48,0.3174541804087504,0.23670189640801334,0.964
49,0.27755600611064274,0.3378672319243929,0.963
50,0.2772904546890007,0.29276408507653306,0.912
51,0.278854152295067,0.28766551350779157,0.976
52,0.27491085325597175,0.31893335517529037,0.966
53,0.2850602169153674,0.3017713711588863,0.978
54,0.2922286758588907,0.23970702226200047,0.983
55,0.2992473496583735,0.19847915625120155,0.978
56,0.2830540952531818,0.29784281457939676,0.979
57,0.2886310326316117,0.23867795039895107,0.977
58,0.3053497267571837,0.22605853491199257,0.978
59,0.2960832089127967,0.20533111410776303,0.946
60,0.2917300963295,0.2793245305595286,0.979
61,0.27084736573081003,0.297123908131858,0.979
62,0.27773076516657025,0.3453327678893635,0.973
63,0.31538116055789644,0.19014267876648416,0.957
64,0.26801393086424785,0.35039058749355295,0.968
65,0.2877116505251888,0.2901189062925366,0.978
66,0.2875917151401337,0.29720167592800606,0.953
67,0.2903093110945366,0.35037012846706944,0.956
68,0.30881948190728736,0.24070084014987111,0.952
69,0.28005010024083926,0.24926037974820126,0.987
70,0.28053071732513535,0.34116860677038297,0.963
71,0.2898551587997897,0.31340709939628053,0.968
72,0.3090026864789035,0.23544658253342537,0.972
73,0.28270787963957517,0.27746761603309517,0.985
74,0.29684955688084796,0.23296363530929923,0.97
75,0.3041205123023849,0.2613823749079434,0.981
76,0.25863381556469994,0.3571871612889604,0.974
77,0.2814715555474432,0.30404686505920564,0.976
78,0.27439321439656916,0.32130979165412815,0.981
79,0.2763001076397246,0.3345291748274927,0.972
80,0.2911684570832324,0.24791195973656655,0.987
81,0.30167856621090905,0.2678789714845716,0.979
82,0.31082477503000033,0.3091880559087964,0.965
83,0.26864658612418313,0.3710472925006755,0.975
84,0.2998811806622341,0.3149078889470999,0.97
85,0.28831199267702257,0.2899222748487927,0.984
86,0.29966702368993636,0.2746920417443348,0.97
87,0.275103702190026,0.31121359827078016,0.979
88,0.29487725102238577,0.23218008807914645,0.974
89,0.31614815892310555,0.19049434835259274,0.977
90,0.28364673056483986,0.21179936240992062,0.971
91,0.2795299402588841,0.28429759558764656,0.977
92,0.2716965683955078,0.28163587896918507,0.986
93,0.28821022089781045,0.2786118527911852,0.975
94,0.303379089666811,0.20547051584525586,0.985
95,0.29721362104546695,0.2546302391705457,0.962
96,0.2775333033296171,0.2644076278444464,0.995
97,0.2875160102157872,0.21725863472423448,0.982
98,0.28631147216893676,0.3050526714480674,0.99
99,0.2908923268595964,0.24610031952365455,0.977
