Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.0001381983410717543,0.00014289952414312939,0.0,4.0044992120839596e-05,3.883405268140566e-05
del_V,0.0,-9.910378582058526e-05,-8.933495778100931e-05,0.05,0.00010313913604352081,7.902731895307436e-05
1,0.005,-0.04893600870295436,-0.044228168627134495,0.0,-0.0020216315278364302,-0.0
U,1.0,0.5256407379946951,0.5163607349927746,10.0,0.16105419062219176,0.15385100587125358
V,-1.0,-0.42940353538686177,-0.4234219749261148,-10.0,-0.2702832314590717,-0.25125018592001236
U^2,0.0,0.05316699658632802,0.04589841085270373,0.0,0.020100615215820357,0.019058578773033373
V^2,0.0,-0.0,-0.0,0.0,-0.2739023464127538,-0.29590540776753915
UV,0.0,0.0,0.0,0.0,0.0,0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5510262056524095,-0.5221691957085655,0.0,-0.0,-0.0
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.00822250715867777
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
