Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00014030529114388243,7.266374043559548e-05,0.0,3.928917333291096e-05,1.0665573937317731e-05
del_V,0.0,-9.94349501079906e-05,-6.0126258285936015e-05,0.05,9.993437210555773e-05,-7.346120006065086e-06
1,0.005,-0.04800209943184335,-0.05809138369383511,0.0,-0.0,-0.016222586777291177
U,1.0,0.5263812653290877,0.21854837715765346,10.0,0.15906297902279487,0.01736260735043762
V,-1.0,-0.4369815386683748,-0.13247872747605843,-10.0,-0.2757333075105144,-0.0012317548972493723
U^2,0.0,0.05642610447051407,-0.0,0.0,0.019254200009118434,-0.0
V^2,0.0,-0.0,0.0,0.0,-0.2751511750049458,-0.0
UV,0.0,0.0,0.0,0.0,0.0,0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,0.0,0.0,-0.0,0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5448105131349551,-0.11018028891432705,0.0,-0.0,-0.0
V^3,0.0,-0.0,0.0519586647717486,0.0,-0.0,-0.0
UV^3,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,0.0,0.0,-0.0,-0.0
U^3V^3,0.0,0.0,-0.0,0.0,-0.0,-0.0
