,mae,ssim,hist
0,0.26386984916177836,0.23535591406302472,0.941
1,0.23245396616136899,0.3429583142696053,0.971
2,0.2500414103471432,0.23769236870667285,0.927
3,0.26229325879853,0.2833378572196624,0.97
4,0.24616167699103658,0.2994689895012796,0.917
5,0.27672809582084773,0.13527034565367413,0.936
6,0.2541391375264146,0.3164544483522907,0.97
7,0.2688702742103083,0.28683141234506837,0.94
8,0.2462096603669476,0.22481001269987727,0.938
9,0.2478866732163799,0.3010754448622679,0.97
10,0.2773559811831394,0.22216415995116512,0.929
11,0.26031930038989554,0.24740512817236593,0.909
12,0.2458040717161361,0.27186644197004856,0.981
13,0.29003062376144373,0.15084035933082968,0.957
14,0.23713463872863763,0.3073547583086012,0.973
15,0.2576264540817837,0.27921269947837624,0.968
16,0.2545367961712556,0.303997525602381,0.955
17,0.25350428104889483,0.288091695291176,0.958
18,0.3010521563760026,0.10832138084807898,0.848
19,0.25576981994418047,0.3745128427341244,0.976
20,0.25033096528530785,0.35896954124675656,0.951
21,0.2552278790944395,0.24446353695361403,0.97
22,0.2588540855922427,0.22207492957699876,0.926
23,0.26729089601565115,0.32935562746442343,0.968
24,0.2465061995825786,0.33338635995165405,0.983
25,0.28582040881278037,0.19089894010432604,0.961
26,0.27479202078052845,0.21278351359495845,0.902
27,0.23010249275194403,0.3715615281997075,0.989
28,0.2635608484651026,0.26137489844113976,0.95
29,0.2520413154976457,0.2541915352705496,0.967
30,0.2526556894563677,0.27731694264319967,0.965
31,0.2704986835403522,0.28333047348236173,0.971
32,0.2925172117290983,0.19364457081028,0.878
33,0.24414484254060315,0.3200075931818414,0.955
34,0.26382849732584995,0.21045571898959045,0.973
35,0.2623959100375966,0.2864596223237857,0.96
36,0.2326276681717873,0.2657592448378429,0.98
37,0.2486910244237313,0.23322007765209696,0.979
38,0.2604165412019049,0.27464238813895475,0.975
39,0.26300200534835866,0.1701443851407537,0.95
40,0.24450551475765453,0.36520482896095185,0.953
41,0.25498283395433174,0.2532683634731536,0.964
42,0.2537905071024611,0.27882948048670453,0.977
43,0.2512175031231325,0.2922010366259155,0.977
44,0.2849943600536393,0.19493246171752135,0.937
45,0.26872300624341966,0.11830202553766207,0.88
46,0.26069348815959015,0.24564001002999744,0.972
47,0.23370815885562954,0.33108773989051077,0.981
48,0.25227867724888037,0.31011820934771944,0.963
49,0.3004086202353714,0.19719659794363956,0.908
50,0.2635575121994521,0.2536867872381903,0.923
51,0.2599579322939211,0.261271865823961,0.932
52,0.299811208874096,0.18066820682666207,0.835
53,0.277318881489521,0.21729568844032104,0.977
54,0.2411170336939921,0.24290262348918096,0.94
55,0.2862619610692383,0.25328402802283256,0.932
56,0.23528195564914028,0.2613206090015483,0.977
57,0.24866710002727668,0.3281587230198891,0.987
58,0.26340008133116566,0.23507675584985707,0.966
59,0.23643472971204946,0.2856236873564048,0.958
60,0.255028843434485,0.28753360255700977,0.974
61,0.2781496440276773,0.25625082029939594,0.962
62,0.227898452242408,0.3380273234310968,0.983
63,0.2519363097215838,0.259814909152823,0.946
64,0.2510702384986069,0.32848727063464706,0.965
65,0.26101171576130344,0.2649906276160342,0.983
66,0.2349988791670714,0.3350279000053847,0.984
67,0.264295637390405,0.23317273275688988,0.943
68,0.23072190223876807,0.2953902342482882,0.969
69,0.24555619323121072,0.2697938027535321,0.968
70,0.2566165535745466,0.28908959100077763,0.951
71,0.25155434710748453,0.23683994238942252,0.935
72,0.26169056190971723,0.26527945861949515,0.978
73,0.2725486628880777,0.20528579455158166,0.945
74,0.25405135236217924,0.3045633485669306,0.963
75,0.2526690679292636,0.3175628263760216,0.983
76,0.2825152962344814,0.2515677384355211,0.956
77,0.2685280958384794,0.24335200741625032,0.922
78,0.23385420320776515,0.31401543882570204,0.964
79,0.29101972383703645,0.17925902010922318,0.926
80,0.24876319456140256,0.23985749444724008,0.988
81,0.24506068978788556,0.29375473412652986,0.963
82,0.2624423658277904,0.2994027236699897,0.947
83,0.24527982749604968,0.27939763335876466,0.956
84,0.2459966338364793,0.2768210583183419,0.96
85,0.2594145160497139,0.34660506706448874,0.959
86,0.2485987809684172,0.3402709363353302,0.972
87,0.27415481125472185,0.2645026639810031,0.883
88,0.2492316292134607,0.34737984691691004,0.974
89,0.24904869650810382,0.2087399648903323,0.938
90,0.24884486913334708,0.27428062645680296,0.94
91,0.24865099931467766,0.2220062663037222,0.964
92,0.265092031652331,0.31599359405541105,0.96
93,0.23131113923312757,0.3306288017190983,0.982
94,0.25117687651211856,0.2184541256600912,0.959
95,0.24149744112287022,0.3252750280255773,0.964
96,0.271471599275383,0.23734689111190282,0.972
97,0.253906257544263,0.2932360021399312,0.971
98,0.240191325958905,0.32050636630644647,0.97
99,0.26111264792840044,0.27669723943605334,0.967
