Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.0001381700147606235,6.75765201047362e-05,0.0,3.653817194243071e-05,7.02300583344579e-05
del_V,0.0,-9.959603676571038e-05,-1.3007051827035105e-05,0.05,0.00010345032867682634,-1.3707762988854996e-05
1,0.005,-0.04900031999790164,-0.009860811901112968,0.0,-0.003232047239826583,-0.010269082446440982
U,1.0,0.5235782114688448,0.19070171840568081,10.0,0.15210139583613586,0.20058834693585317
V,-1.0,-0.4327689869771408,-0.1507880965407768,-10.0,-0.25513844431262056,-0.15645808630043687
U^2,0.0,0.05728870497633569,-0.014022429520816025,0.0,0.01888225019314104,-0.013556968210460143
V^2,0.0,-0.0,-0.17007758704902118,0.0,-0.2843982550740456,-0.17635421368628168
UV,0.0,0.0,-0.03673115240230894,0.0,-0.0,-0.041970194152040535
U^2V,0.0,-0.0,-0.14635650640726272,0.0,-0.0,-0.151254708440212
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5455450083142044,-0.07949440447120928,0.0,-0.0,-0.08647648072923346
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,0.0,-0.0,0.0,-0.0,-0.0
