,mae,ssim,hist
0,0.28004756954337806,0.22417670314244945,0.901
1,0.23460258293806444,0.30259965956426654,0.936
2,0.26349189436827514,0.270535616334199,0.93
3,0.23802263858602477,0.3032274380435249,0.943
4,0.26484504285336613,0.29241753825251204,0.916
5,0.2230238127691094,0.3638432573888942,0.96
6,0.236108920619851,0.2665024068226267,0.949
7,0.2395447036870873,0.30044156355117546,0.971
8,0.2514966501702867,0.2964074643975098,0.907
9,0.24955633589170803,0.3639607876036737,0.924
10,0.2804938737482547,0.2575589247195039,0.909
11,0.2588805381246745,0.25393391011602234,0.92
12,0.2582454597744099,0.2712031828484912,0.939
13,0.25428735408555364,0.26876495382706156,0.915
14,0.24593894233694724,0.23390736292965802,0.938
15,0.2571137169600356,0.2625626830201182,0.924
16,0.25428379561903786,0.30997689687214314,0.93
17,0.2622551868863405,0.27816633897583004,0.92
18,0.2602768903162014,0.3093818830393995,0.894
19,0.2522040348016191,0.2767746535205204,0.909
20,0.27905645069133406,0.23420198728223676,0.907
21,0.2656303439711577,0.33760214122237653,0.942
22,0.2555086983630919,0.31053131281629476,0.925
23,0.2705161901892913,0.2716208902121115,0.882
24,0.264491478016146,0.25167666716162446,0.912
25,0.28813832347412294,0.21743707952696412,0.856
26,0.24659608614270445,0.3461176107049352,0.927
27,0.2734104800140051,0.21522722998934984,0.916
28,0.2282562111143819,0.31624640755078653,0.957
29,0.242840890550216,0.3265602647013094,0.934
30,0.27450042705738364,0.20128334677494394,0.901
31,0.2760193354218114,0.22570022892323968,0.892
32,0.28359332868278964,0.2580643177540646,0.899
33,0.2645523495763619,0.28620504442764527,0.908
34,0.2502157454782865,0.3292236241458255,0.928
35,0.2512221424118675,0.3202715595155858,0.93
36,0.2655343441827349,0.24292801437959555,0.929
37,0.2893153808669933,0.21249155884302887,0.922
38,0.2736655842459975,0.29879786441292927,0.895
39,0.25681542831654186,0.2646920400696571,0.931
40,0.23857910298919383,0.32571777435261645,0.945
41,0.2631842187681366,0.22518799975058731,0.898
42,0.2691029025951177,0.29927681243927295,0.94
43,0.24851897698968586,0.3196906849333075,0.911
44,0.26172627179226104,0.2729050756118483,0.931
45,0.24471443163802797,0.30192156301178624,0.915
46,0.27365623993407895,0.27017437633927754,0.943
47,0.2650229179349932,0.27022899823594804,0.928
48,0.2580786110289328,0.2626742453279774,0.899
49,0.2713506319558336,0.271265185012418,0.899
50,0.2508041550779749,0.326102614404726,0.916
51,0.24681444748048667,0.29789574517644873,0.932
52,0.2553672619141123,0.264996528395268,0.936
53,0.2553253559295864,0.24743850861076108,0.948
54,0.2370398569796553,0.21113236730768745,0.896
55,0.23752985506379032,0.3296532827682915,0.958
56,0.28755222538767955,0.26570248859177553,0.903
57,0.26783174900443935,0.23797241738741615,0.915
58,0.26480691768334036,0.30877552436816114,0.923
59,0.25945062127557644,0.30479491426378813,0.932
60,0.2735443199296435,0.24741918360261597,0.91
61,0.2855167937609186,0.16958127542684473,0.896
62,0.2673008023744388,0.3820391248894085,0.898
63,0.265986888137969,0.28535259415523945,0.902
64,0.26488070277187115,0.2979509904358465,0.929
65,0.23984628521140622,0.31715194331143504,0.939
66,0.24885764066788174,0.32989787149901884,0.939
67,0.2813257949078345,0.30083221807927313,0.89
68,0.23965402732763594,0.3492751495421584,0.943
69,0.2485409588696347,0.28828594463977747,0.897
70,0.25527018551941283,0.2935819500497402,0.944
71,0.2655128505354269,0.3165815493503228,0.92
72,0.26131896948348854,0.27146177823614753,0.89
73,0.24255617361943324,0.29165079978262554,0.921
74,0.26737866154588164,0.2949615791174968,0.917
75,0.25017857861090864,0.3547144307416737,0.91
76,0.2703172447676563,0.30451254412609585,0.909
77,0.23739182446728288,0.3205605833132377,0.934
78,0.2677127310441388,0.19157705109179088,0.888
79,0.27873827960796405,0.34779195743788005,0.872
80,0.2448754635087209,0.3020042659551456,0.929
81,0.24702278732500166,0.3462123987296636,0.883
82,0.2517683234344266,0.3319580204607262,0.917
83,0.2613326578415827,0.21675788727462492,0.949
84,0.26355175349256277,0.2640898941749119,0.919
85,0.2740196907324147,0.28480559674595646,0.891
86,0.2536361761506555,0.2508926098302551,0.913
87,0.24458506793943557,0.3020774368709771,0.945
88,0.27398904456840795,0.27679472841895925,0.906
89,0.28305210959443133,0.221912279639625,0.914
90,0.2430317796571019,0.28139512524877447,0.905
91,0.2598764263643322,0.24292904867284965,0.887
92,0.24708053982620526,0.3307387608023911,0.919
93,0.2805067586177385,0.2060714483934374,0.899
94,0.2813873851779948,0.24597371035297577,0.891
95,0.23916868651499068,0.3454975555003331,0.913
96,0.24292908905708854,0.2028279993491262,0.944
97,0.2685049102056075,0.2843524861582106,0.912
98,0.2766728718451457,0.26769397918837856,0.902
99,0.23171671416714584,0.29846018539925795,0.938
