,mae,ssim,hist
0,0.28384258261958284,0.2996336201480833,0.916
1,0.30310141940872337,0.2864618373848731,0.892
2,0.2605071679743885,0.318047033525055,0.936
3,0.27778672032383855,0.3239101669899821,0.889
4,0.26484622695354515,0.34824032727232423,0.893
5,0.2771151370279294,0.3032991086075574,0.91
6,0.2792921537836495,0.2729913315995355,0.917
7,0.2665159091996477,0.36176471512717606,0.933
8,0.26402038151553525,0.37739694954739533,0.936
9,0.24791634648796668,0.34413589497980157,0.961
10,0.2755986204393511,0.321619747423879,0.913
11,0.2851881145456033,0.3623706696754899,0.902
12,0.2676404658201634,0.24724314699063304,0.94
13,0.2706029528912348,0.34728023165537464,0.927
14,0.2815296894847476,0.27699456603990685,0.937
15,0.26499919088447105,0.32276431701308633,0.951
16,0.26887547674655926,0.37059266643115185,0.877
17,0.2878507790754743,0.30696367552343806,0.912
18,0.25238098192738867,0.33932817863520637,0.922
19,0.243659917585113,0.3667942091811552,0.935
20,0.24815120267532847,0.3654818066274648,0.925
21,0.2696054583167595,0.3568182443236772,0.929
22,0.2621871926728877,0.3707487237673061,0.889
23,0.24698258874036377,0.34727141735109834,0.981
24,0.2522165385648603,0.343190973568652,0.964
25,0.2509537354580026,0.4067649718656231,0.941
26,0.2654390568134598,0.3220301868097771,0.95
27,0.2432895884198622,0.38593103076797514,0.947
28,0.2362888798394462,0.33255989611049513,0.973
29,0.250801505753504,0.3884658716055785,0.906
30,0.2674858421357227,0.3549017835645654,0.934
31,0.23022917618219593,0.3441224699929576,0.973
32,0.2751706229512271,0.317885346861088,0.913
33,0.23670870029188135,0.35568284175219805,0.966
34,0.2545253901994399,0.3345318746203003,0.923
35,0.2806990755345373,0.2705545945110459,0.878
36,0.23945949087238888,0.39863720999958846,0.928
37,0.2722884498881156,0.3368395368682061,0.954
38,0.2632418851889509,0.33694000072715924,0.903
39,0.25183542002303405,0.31620071851863146,0.96
40,0.28175920330919235,0.235061347039793,0.951
41,0.23787636174912052,0.33828622106229217,0.959
42,0.24647392666770493,0.36090383672250953,0.944
43,0.22455220187436428,0.3644850161792664,0.977
44,0.2616087553247639,0.34888875114466356,0.928
45,0.2851275366198802,0.28780667393920367,0.883
46,0.24795538101989226,0.3277129809911634,0.904
47,0.2424513456238574,0.3643812228758319,0.947
48,0.24199831852627388,0.3728438185632052,0.939
49,0.24493914340665787,0.37459235880791797,0.93
50,0.26474716924728176,0.35243197833569545,0.939
51,0.2576453466020001,0.3683826664695249,0.913
52,0.25992863906446595,0.3632744071032589,0.913
53,0.23966498536892106,0.3840496942214021,0.943
54,0.25561068259555897,0.3405124817147936,0.914
55,0.2531312889834356,0.2869196435548267,0.957
56,0.26263969781034524,0.3774888420770997,0.874
57,0.2807084406302729,0.28146467635154687,0.921
58,0.2548314983273282,0.33926159863827166,0.942
59,0.24536774157911628,0.3647805894474545,0.954
60,0.25960784726535685,0.33233893467553655,0.92
61,0.2630995308405642,0.32098980341894856,0.937
62,0.2425112302856235,0.3489589357857872,0.932
63,0.2751534621600345,0.3067977490232234,0.929
64,0.2730198174367598,0.32357757504242685,0.911
65,0.28829586529279616,0.3141422198987933,0.859
66,0.23681364330284968,0.35182186253062364,0.951
67,0.24562824356104151,0.3329148955238082,0.958
68,0.2625490849935311,0.3801854713878535,0.938
69,0.2605239694241975,0.3643872248536221,0.914
70,0.23054111883749884,0.3573142029909042,0.94
71,0.23419527946547739,0.3605603175931268,0.946
72,0.2548232068383262,0.36667483020552305,0.956
73,0.2695039866468222,0.3874746069849383,0.903
74,0.2620404731764959,0.3257302734791043,0.94
75,0.28050191435620164,0.27371404248996467,0.912
76,0.25100790122306477,0.3506597731271065,0.927
77,0.2573816484651318,0.41581725923423896,0.914
78,0.25824534491790063,0.37116756270123125,0.888
79,0.25680948471387144,0.32563235765029286,0.965
80,0.2796861531655433,0.3000224138049382,0.89
81,0.25702726692654687,0.3689285187998155,0.899
82,0.27592549137432154,0.35120202405082585,0.893
83,0.2917042493744128,0.2980621164457874,0.911
84,0.25352405261332145,0.318683103806879,0.954
85,0.2446696159477315,0.3422350456890409,0.966
86,0.26537475688537393,0.38529578304684803,0.887
87,0.25414194028173065,0.33666317532751205,0.94
88,0.2367654964405211,0.35058423487034096,0.942
89,0.26155417731297353,0.3408413235731396,0.915
90,0.22844656487996923,0.4550518558030457,0.93
91,0.23500584756013237,0.33871582766543795,0.953
92,0.2443118118173401,0.376713180791275,0.95
93,0.26135473233718587,0.3330231091659799,0.932
94,0.26695856013422453,0.35564193755190526,0.885
95,0.22306805450353823,0.3847962068920095,0.966
96,0.2613743687162859,0.3242424723317106,0.918
97,0.23681930885760158,0.34555278482264457,0.968
98,0.2791910440828354,0.32838441757212083,0.909
99,0.2563940451002698,0.35726317230135535,0.922
