Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00013927328999734589,5.459009265621602e-05,0.0,3.955933468951077e-05,6.240407252382422e-06
del_V,0.0,-9.759496119212017e-05,-4.7256675949850756e-05,0.05,0.00010298495127255814,-5.72119907354434e-06
1,0.005,-0.05005007768667543,-0.06933052456684184,0.0,-0.0004733289072452246,-0.014198096523484595
U,1.0,0.5269410723199192,0.16569596577674875,10.0,0.16203350731040606,0.011890352138216499
V,-1.0,-0.43108174714140846,-0.06913945683713475,-10.0,-0.27959943647083646,-0.0
U^2,0.0,0.05806344406687687,-0.0,0.0,0.016895131419821182,0.0
V^2,0.0,-0.0,-0.0,0.0,-0.2593192427278522,-0.0
UV,0.0,0.0,0.007345658515180188,0.0,-0.0,0.0
U^2V,0.0,-0.0,0.0,0.0,-0.0,0.0
UV^2,0.0,-0.0,0.0,0.0,-0.0,0.0
U^2V^2,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3,-1.0,-0.5511480732201518,-0.04290138284457602,0.0,-0.0,0.0
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^3,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3V,0.0,0.0,0.0,0.0,-0.0,0.0
U^3V^2,0.0,-0.0,0.0,0.0,-0.0,0.0
U^2V^3,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3V^3,0.0,0.0,0.0,0.0,-0.0,0.0
