,mae,ssim,hist
0,0.2984560509330737,0.2629692276737465,0.93
1,0.27584118574821875,0.24340417071337167,0.92
2,0.29555258908436055,0.18656663896057854,0.937
3,0.2740719162370081,0.26117563873794486,0.964
4,0.2744605164427048,0.23056858484646864,0.91
5,0.274498109099451,0.23823859800889083,0.942
6,0.2868785294851709,0.248425955179723,0.903
7,0.2955587885851475,0.21708160614085167,0.936
8,0.28315753808445315,0.2893878462053392,0.966
9,0.28631798212455867,0.24764459507595785,0.929
10,0.2690064501972798,0.2508190618979729,0.946
11,0.28351798068120326,0.27906127328891805,0.961
12,0.27462209505610696,0.22627655615829215,0.947
13,0.29110457565252573,0.2539138925621545,0.958
14,0.2603343264431252,0.34052415531145563,0.966
15,0.28108303915636695,0.2490989486933205,0.949
16,0.2700516522786346,0.30494758731391214,0.96
17,0.27928960134755737,0.2827351241873596,0.954
18,0.29029460435541166,0.25435788282048905,0.91
19,0.26457014624347647,0.2963428960718433,0.945
20,0.2673903086114078,0.26530948653201286,0.917
21,0.28546743303941546,0.2630313959860484,0.926
22,0.2794124811736359,0.2401971306792134,0.856
23,0.2925824541414389,0.1563921693385026,0.814
24,0.2729460270600092,0.24427847080612317,0.953
25,0.28617086230265437,0.21217136720054902,0.963
26,0.28387418061942776,0.21756000395579697,0.963
27,0.32359193871806996,0.1813767960223684,0.942
28,0.2629347566136241,0.3354240866996612,0.905
29,0.31210532426576604,0.132656026185982,0.862
30,0.292646173772886,0.20791470072222917,0.877
31,0.2970418217359534,0.2528827919379758,0.938
32,0.2740788316944022,0.29665396996744875,0.953
33,0.2664977347344785,0.25527273396427524,0.946
34,0.2740064536636566,0.15984950755545707,0.893
35,0.2950663855402146,0.17476382142990174,0.894
36,0.3016513014457426,0.15770684693667886,0.886
37,0.2802554231202977,0.3174457293280444,0.976
38,0.296848808273296,0.22697917493687408,0.903
39,0.24844556749946536,0.245414986937085,0.908
40,0.28578841214519674,0.27945369370704093,0.931
41,0.2881628468676295,0.21623369187262464,0.952
42,0.2826415660400982,0.21405830280731877,0.886
43,0.26499224904813545,0.3068316942528674,0.962
44,0.2600939350440256,0.3155436895026603,0.883
45,0.27746166246355636,0.26428511289202633,0.931
46,0.2630596143050983,0.2702486805205616,0.902
47,0.27084664980836803,0.2962908673388976,0.962
48,0.3091031486266713,0.20185993766663124,0.894
49,0.27870756211561554,0.17503996338283911,0.966
50,0.29979486148519213,0.17833009400828595,0.84
51,0.2697123659452384,0.2976895353142951,0.954
52,0.2851811441028599,0.2361747141691801,0.938
53,0.3133686512911154,0.14377099726455328,0.863
54,0.28296756437019854,0.29120970313586175,0.962
55,0.27571594932982463,0.31557741757530605,0.908
56,0.27396338965192824,0.2447406272102953,0.915
57,0.28987865969454163,0.24792892138843273,0.943
58,0.2899441515654016,0.2243894363699837,0.915
59,0.30590496090233066,0.21084686028228794,0.929
60,0.2885952412396943,0.2789880538710484,0.961
61,0.27834226494445674,0.19570628459064288,0.937
62,0.2785105898667595,0.24222675047433015,0.943
63,0.27196481735241423,0.29694164768704984,0.94
64,0.29605108232627064,0.24742974427330744,0.93
65,0.2990610145737133,0.2778150960379938,0.939
66,0.28543270095468,0.24984041254346687,0.918
67,0.2986348618377765,0.17029648457132035,0.874
68,0.3008423718447777,0.27700381136432284,0.92
69,0.2850105352128682,0.2567366967116687,0.935
70,0.31276856837793526,0.17436740534473694,0.882
71,0.3011863929588187,0.2468046115834298,0.906
72,0.24667590881616017,0.3713904950138559,0.974
73,0.29063041996793004,0.24007858622829753,0.92
74,0.26254499149358157,0.2866419708693949,0.972
75,0.28399030500833045,0.22321594364481395,0.938
76,0.2839699319775612,0.24960847162800248,0.906
77,0.27287747849066446,0.2421866099812697,0.953
78,0.3061326331901697,0.22706897886764038,0.961
79,0.3008295663558267,0.22093024964686983,0.901
80,0.29623740811695215,0.2898233413862295,0.97
81,0.2709620702404666,0.2959832988339423,0.952
82,0.31149064125407655,0.1920607413610921,0.915
83,0.29632644068141495,0.20685584748921845,0.907
84,0.2914751344798273,0.2425127705033925,0.956
85,0.28570626265975535,0.1992353202462173,0.918
86,0.294137732679714,0.25694899647203595,0.938
87,0.3229317238846656,0.09724649520629464,0.744
88,0.2931562226565547,0.20480559764719297,0.906
89,0.2746476114531587,0.25209986694587294,0.964
90,0.28479460027797776,0.2969922551343657,0.962
91,0.29028288292396376,0.21140154574020567,0.927
92,0.27771876502889764,0.26430565884623247,0.908
93,0.2834051673939663,0.2711535380113727,0.931
94,0.28708017394353497,0.19442989844511255,0.929
95,0.3190802649655245,0.14928091185756379,0.868
96,0.3067788941748453,0.20831305977772607,0.932
97,0.29438374220129937,0.1560048100486495,0.841
98,0.2712277816829513,0.31202721793752664,0.94
99,0.2645151131779318,0.2390400020662216,0.871
