Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00013609224102971467,0.00012964312737362335,0.0,4.206989151700323e-05,3.581342567177954e-05
del_V,0.0,-9.841611290093159e-05,-7.642505290625234e-05,0.05,0.00010300935026771743,7.367564545709407e-05
1,0.005,-0.04758199096628474,-0.041996393235306295,0.0,-0.0,0.0
U,1.0,0.522902740811644,0.4574140896153598,10.0,0.1657583378694593,0.14833407452026653
V,-1.0,-0.4330755942512589,-0.36469343828868,-10.0,-0.2853865904207027,-0.23858547512611591
U^2,0.0,0.05224615563822214,0.021820609390752425,0.0,0.02174647629381297,0.0145817491417765
V^2,0.0,-0.0,-0.0,0.0,-0.25955348713679766,-0.2539987340392041
UV,0.0,0.0,0.0,0.0,-0.0,-0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5517525637470644,-0.4453420654191761,0.0,-0.0,-0.0
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,-0.0,0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,0.0,0.0,0.0,-0.0,-0.0
