Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.0001385546263823962,0.00014477919356553954,0.0,4.341383129538914e-05,4.725734042354299e-05
del_V,0.0,-9.687698372270212e-05,-8.719268666944894e-05,0.05,0.00010270371662763764,8.464114578318894e-05
1,0.005,-0.04972289147386938,-0.06754032060521918,0.0,-0.0037719841316820836,-0.0
U,1.0,0.5214036921308841,0.5240933522287928,10.0,0.1683397142105615,0.1692433145953778
V,-1.0,-0.4251987485492297,-0.38797777769695335,-10.0,-0.28116206590449255,-0.2864402191828797
U^2,0.0,0.054909728761227725,0.0729079678273154,0.0,0.022202411262437886,0.045687672292574526
V^2,0.0,-0.0,-0.0,0.0,-0.2680448290296862,-0.29217914961940755
UV,0.0,0.0,0.0,0.0,0.0,-0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5463742390410842,-0.5545620059546514,0.0,-0.0,-0.0
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,0.0,0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,0.0,0.0,0.0,-0.0,-0.0
