Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00013811472326138486,0.00013670596713617446,0.0,4.1994652825665974e-05,3.872276578734488e-05
del_V,0.0,-9.83036877741021e-05,-7.955064586347352e-05,0.05,0.00010353322511704856,6.147586735213592e-05
1,0.005,-0.04787167066942254,-0.055902886035722604,0.0,-0.0,-0.002356675004691764
U,1.0,0.5267106434867271,0.5000896634910831,10.0,0.16567705092937818,0.15647792473172598
V,-1.0,-0.4380717307328163,-0.39135416082002333,-10.0,-0.2826996430635575,-0.19980688036321667
U^2,0.0,0.05339387891867719,0.05439712971753961,0.0,0.020288952999738357,0.033038597670353616
V^2,0.0,-0.0,-0.0,0.0,-0.2571924229148546,-0.3704774772496885
UV,0.0,0.0,-0.0,0.0,0.0,-0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5499805789257356,-0.5169366639717798,0.0,-0.0,-0.02162034823414973
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
