Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00013907497336189487,0.00014433720518516977,0.0,4.2936431045922104e-05,4.476849979712858e-05
del_V,0.0,-9.926715599509793e-05,-8.350868448200246e-05,0.05,9.91609229126046e-05,7.575112109529186e-05
1,0.005,-0.05045023373476276,-0.06742116700896687,0.0,-0.0013218620943099722,-0.004824539486397495
U,1.0,0.5241208789383145,0.5167179915733568,10.0,0.16712928305430086,0.16019743912746853
V,-1.0,-0.42594231340534705,-0.3865997634438386,-10.0,-0.2862907216754644,-0.22990048132546936
U^2,0.0,0.059374180562507844,0.07234852245979619,0.0,0.026356181315684197,0.050942664316009384
V^2,0.0,-0.0,-0.0,0.0,-0.27756097084893916,-0.3524153346402062
UV,0.0,0.0,0.0,0.0,0.0,-0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5543251200415652,-0.5389186227613273,0.0,-0.0,-0.00553797787280371
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,0.0,0.0,0.0,-0.0,-0.0
