,mae,ssim,hist
0,0.3519875704300821,0.28272689338777635,0.654
1,0.3664554734662302,0.25671459353703613,0.643
2,0.3591648431548061,0.2683209215433996,0.697
3,0.3485483727830318,0.31279012904037856,0.503
4,0.35081317968264814,0.2679812720681334,0.566
5,0.36466257027034116,0.24780095182518377,0.623
6,0.3666797900683148,0.24946572231706485,0.641
7,0.34795414165149724,0.300928406823935,0.583
8,0.36395722679163395,0.27142875330302935,0.552
9,0.35916245830220633,0.2906296059710005,0.664
10,0.3652226013976747,0.2371776293944801,0.611
11,0.38009997941246093,0.2274228070700573,0.68
12,0.3669287063145813,0.274563027339721,0.562
13,0.35913718885761886,0.28235784472889985,0.535
14,0.3589825363712324,0.24402797623747186,0.572
15,0.35685931985307423,0.28957433260120297,0.536
16,0.37208845808586577,0.23685451088757156,0.648
17,0.3544190659910746,0.2686399106486334,0.619
18,0.36074011037267206,0.2964838031189718,0.608
19,0.36470280493087354,0.25510758260786476,0.665
20,0.36222167565243396,0.2265938466347574,0.59
21,0.36222481420681146,0.2454198891273917,0.651
22,0.35809751298049775,0.27569257130552255,0.637
23,0.3690633865527237,0.24671249908673482,0.658
24,0.35268680624174953,0.2762885661489839,0.68
25,0.3377078618468701,0.328230455549571,0.629
26,0.3506569777751771,0.2914170474069161,0.585
27,0.36792169025906407,0.23561543896467277,0.603
28,0.3527535252080621,0.26210430952145886,0.703
29,0.36118471971198035,0.26097999781058057,0.559
30,0.3656000388436702,0.25360720566388273,0.701
31,0.34487658790313486,0.26122311378697854,0.618
32,0.3669043566344274,0.2543288173751642,0.513
33,0.3633286393900926,0.2653991066948425,0.537
34,0.3595038173551321,0.24598521132936899,0.599
35,0.3521720916646355,0.2939198417102224,0.608
36,0.35057845645740726,0.28083431288317984,0.666
37,0.35219342815398363,0.3090202511432156,0.502
38,0.36976819040290076,0.2509540836216797,0.634
39,0.3541944455006847,0.2614860818352202,0.634
40,0.3646770041042761,0.24768401863022368,0.526
41,0.34650564882499085,0.30687798411451567,0.572
42,0.37521959746645345,0.25273037858213615,0.701
43,0.36304595942473755,0.26115802748665784,0.544
44,0.3660862956051001,0.2799936612822733,0.614
45,0.3589129566508767,0.2683272253591996,0.477
46,0.3418733405548557,0.27747903678087704,0.664
47,0.36673466426418966,0.26871824536032884,0.603
48,0.36244890407207286,0.27413966754999297,0.61
49,0.3638921440530535,0.26806854650000084,0.605
50,0.36609355763697415,0.25705900572539647,0.585
51,0.3608209810058167,0.2903056840297452,0.571
52,0.35226526257060137,0.2923081651856507,0.559
53,0.3469694874507882,0.2863513632683191,0.595
54,0.36011123489107716,0.26877131440309976,0.733
55,0.3622856614339985,0.26153504249694937,0.607
56,0.35002541307939766,0.2819656610872874,0.605
57,0.3516342615437096,0.28380951970119905,0.687
58,0.3568998666921662,0.2722362630605029,0.655
59,0.3610601229812499,0.27912259252621247,0.622
60,0.3482116187610973,0.2796531383174186,0.559
61,0.3600736416476557,0.25800553336772514,0.627
62,0.3825534857750026,0.23813387786383372,0.657
63,0.36988426327241297,0.24512270415888224,0.538
64,0.3600025279171483,0.29585339687579787,0.617
65,0.36732178557322376,0.24672777372614818,0.632
66,0.3600459541753019,0.289240140309041,0.627
67,0.35374829902533833,0.26271978136342716,0.662
68,0.3602261489603477,0.2655964689573404,0.664
69,0.35470650609086996,0.282179598450625,0.516
70,0.35693012765002397,0.283595951182101,0.664
71,0.354187944724493,0.30001411681381973,0.608
72,0.35185057060382796,0.27925954703855244,0.638
73,0.3626982547208965,0.2677511358149754,0.625
74,0.35957797207687414,0.2784776731323049,0.584
75,0.36182267620890324,0.2574225053875531,0.608
76,0.3569926248290422,0.23278759162932222,0.662
77,0.34171301865526194,0.3318693468998358,0.531
78,0.3567712357552356,0.2688304128529494,0.595
79,0.36533672105056075,0.2592383298970964,0.624
80,0.3552157111404043,0.2851038227534472,0.597
81,0.376307263602871,0.24211928712880776,0.628
82,0.3585183348492169,0.2691019784560184,0.615
83,0.3512428557634704,0.27573614615949116,0.594
84,0.3754375918378921,0.2322986611087493,0.619
85,0.36187164022515667,0.23848163374996878,0.654
86,0.3491232789776991,0.30858546651889074,0.56
87,0.3681800213704096,0.27996124651314497,0.571
88,0.3559804337617714,0.2796177308771913,0.468
89,0.3600022760521805,0.27174071032989033,0.663
90,0.3525249107140769,0.2809493928243609,0.605
91,0.34460175629583156,0.2639451112260142,0.608
92,0.3521709722180676,0.2919297026382369,0.574
93,0.35399938052256164,0.2763952938795068,0.582
94,0.358589153939749,0.2509164532079211,0.6
95,0.3524912346576771,0.27041597826960123,0.57
96,0.35969251903891336,0.27658678544918325,0.595
97,0.356640631443318,0.2675535892874741,0.623
98,0.36756515641627213,0.24602206907928945,0.659
99,0.3595169075705037,0.2640123142225741,0.496
