,mae,ssim,hist
0,0.4119430920175962,0.21017552971954148,0.628
1,0.41903237815366334,0.19670866518763228,0.677
2,0.41474022968155827,0.23426080829678905,0.698
3,0.42137299044289017,0.2050915966019056,0.666
4,0.4116487335370485,0.2194007530227765,0.695
5,0.42716416400952767,0.19181522761194006,0.666
6,0.40853173723827574,0.2040031515814492,0.731
7,0.41826799247592034,0.20672803169410037,0.698
8,0.4098988643047418,0.21519517651270686,0.763
9,0.4071622985130441,0.21786571248900982,0.712
10,0.40972378166450263,0.23387930887657002,0.664
11,0.41575022626745267,0.20600631975739095,0.701
12,0.41540034123578445,0.20553300033209498,0.763
13,0.41116116176889844,0.20152139644715744,0.702
14,0.40799621495002397,0.23616834593642175,0.713
15,0.4127364413641609,0.206501222837947,0.665
16,0.4052782192848102,0.2271801531152096,0.725
17,0.40459689332875304,0.24175091102585056,0.696
18,0.4154269870101449,0.2060639167413613,0.815
19,0.41456405843328714,0.21706878146454728,0.732
20,0.41094085394022084,0.24029343659590488,0.756
21,0.39734433555230003,0.2416559050908092,0.744
22,0.4123295777119029,0.23721079286806424,0.718
23,0.4166188806802898,0.2388512228845007,0.666
24,0.40175863979965987,0.2409521035880026,0.744
25,0.4039101065319248,0.22884638230238608,0.737
26,0.4183064954651327,0.1959964212765631,0.669
27,0.41419809828464127,0.2071919012042334,0.737
28,0.40175775755387944,0.22430930751955558,0.72
29,0.4176451228363459,0.23341714359000262,0.691
30,0.4054461810095358,0.22967846858522145,0.721
31,0.4139794754311032,0.22409260891656071,0.658
32,0.4077535712014064,0.21777480149098605,0.745
33,0.4077819557198262,0.2208312116656165,0.775
34,0.4155014755737538,0.19266247028062553,0.779
35,0.40804099374801045,0.23432597607668743,0.692
36,0.4145595034644344,0.22160904350681954,0.764
37,0.4135482564519292,0.20164295333111873,0.727
38,0.41372638445341786,0.21111920308206053,0.754
39,0.4098183000075808,0.21922200714232482,0.777
40,0.4019293795686892,0.2253002377761082,0.622
41,0.41055365869550264,0.2482879367417965,0.658
42,0.4182038745678171,0.21517308833325297,0.715
43,0.41874167791389166,0.2115556367392806,0.676
44,0.41108406574699624,0.21938769538501923,0.768
45,0.41819581050927807,0.20959649996976099,0.75
46,0.40795653223981,0.235460892548629,0.716
47,0.4109712561434512,0.2368327017079915,0.699
48,0.40975429836512917,0.23425388148175008,0.702
49,0.4123899736283316,0.19231297419441548,0.576
50,0.4030181721932983,0.25636916320231623,0.661
51,0.4191104375227378,0.20954635624535434,0.667
52,0.4107882968078996,0.20391575257243064,0.724
53,0.4150021095663352,0.20643388994254583,0.7
54,0.40927751152534014,0.2287015169945864,0.676
55,0.40436637935232067,0.23727311200002985,0.709
56,0.4194192516068012,0.2017460309283447,0.715
57,0.41895211655774744,0.22632825892917482,0.652
58,0.4167884874701791,0.21856281229676924,0.667
59,0.4102073545540285,0.20232015828993102,0.721
60,0.40810284243913064,0.2122071772639051,0.655
61,0.40054740353845847,0.23882749136838488,0.677
62,0.4051334986823716,0.22137978397391056,0.786
63,0.41015513890408556,0.20754504278115088,0.707
64,0.4101133922630604,0.21486646319608874,0.714
65,0.39739025866172395,0.2237100145597836,0.678
66,0.4087502049563126,0.20800173796886462,0.749
67,0.4119475307222819,0.21959691828336117,0.592
68,0.4054406369382168,0.23499800560225068,0.713
69,0.4169649924615812,0.20769613681500357,0.628
70,0.4059698652995063,0.2290751409874922,0.761
71,0.4080424681835649,0.22029187986663218,0.715
72,0.4113953968421904,0.23118982035796729,0.779
73,0.41459984401797434,0.21167842728674344,0.772
74,0.4135786372061314,0.2304688945007217,0.663
75,0.4071699883140944,0.22386804229740073,0.704
76,0.4246914242384303,0.19537429894340472,0.685
77,0.4066459152959542,0.24694501961203089,0.603
78,0.410724635398313,0.1984307975337565,0.753
79,0.4125028764006772,0.21479118040726491,0.74
80,0.4177769054501325,0.20213947465053403,0.752
81,0.4147518127858509,0.1991010943635059,0.751
82,0.4157074694540226,0.2243034529136226,0.706
83,0.4143075600170195,0.21035087796371096,0.704
84,0.4213427160098085,0.19855165835220157,0.686
85,0.42592596827205015,0.21738771611635446,0.687
86,0.4177828845849843,0.2062266168955123,0.604
87,0.4021649922849084,0.2230589639727566,0.791
88,0.4060831135231387,0.2172231368577211,0.707
89,0.4043775593175822,0.22658969618614114,0.763
90,0.4008280410670681,0.23085289430826406,0.744
91,0.4028782554581229,0.21408498872243048,0.758
92,0.4113371654476498,0.19747050861466844,0.698
93,0.4218675923279827,0.1998038298938752,0.72
94,0.4054995482796723,0.22608420063216808,0.707
95,0.40914597785262113,0.20692896447107045,0.72
96,0.3979038556107139,0.2240192957800996,0.736
97,0.41791228837855343,0.22006093110457045,0.725
98,0.4040769731100493,0.2542826950784727,0.748
99,0.4003055429804325,0.23857674332619513,0.76
