Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.0001400469563782213,0.00011662564929142065,0.0,4.07762817317581e-05,2.405200173721868e-05
del_V,0.0,-9.737636453166487e-05,-9.132569407647781e-05,0.05,0.00010294961551313064,-1.9965929747190115e-05
1,0.005,-0.048623525522303104,-0.04101640472954457,0.0,-0.00016690038159629896,-0.01596648782956399
U,1.0,0.5280222086110027,0.3392164393970587,10.0,0.16421885302074526,0.05926088719577834
V,-1.0,-0.4342384646728183,-0.3174052051849193,-10.0,-0.28353521260380293,-0.12768451142084808
U^2,0.0,0.05517282584615832,0.021695912611131723,0.0,0.01727471784384503,0.0
V^2,0.0,-0.0,0.0,0.0,-0.25608895326933034,0.0
UV,0.0,0.0,0.0,0.0,-0.0,0.0
U^2V,0.0,-0.0,0.0,0.0,-0.0,0.0
UV^2,0.0,-0.0,0.0,0.0,-0.0,0.0
U^2V^2,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3,-1.0,-0.5480328700808028,-0.21938037852451756,0.0,-0.0,-0.0
V^3,0.0,-0.0,0.10704473456425878,0.0,-0.0,0.0
UV^3,0.0,-0.0,0.12089212010049377,0.0,-0.0,0.0
U^3V,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3V^2,0.0,-0.0,0.0,0.0,-0.0,0.0
U^2V^3,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3V^3,0.0,0.0,0.0,0.0,-0.0,0.0
