Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.000140417519223731,7.192684018333735e-05,0.0,3.8835393051457575e-05,8.292273990210873e-06
del_V,0.0,-9.876686502503147e-05,-3.0050860739482387e-05,0.05,0.00010438264681256467,-1.6813469181576926e-06
1,0.005,-0.0490884326592859,-0.07163140485001292,0.0,-0.0029636338510805496,-0.019537257073688554
U,1.0,0.5321491445529826,0.264631787967225,10.0,0.15811823531639674,0.021001289719287785
V,-1.0,-0.4410711062033366,-0.15556545558096554,-10.0,-0.27635981077608807,-0.0
U^2,0.0,0.05923487436145528,-0.0,0.0,0.020522667769503712,-0.0
V^2,0.0,-0.0,0.0,0.0,-0.25716099464535763,0.0
UV,0.0,0.0,0.0,0.0,-0.0,0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,0.0,0.0,-0.0,0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5577537220087538,-0.2283305556178438,0.0,-0.0,-0.0
V^3,0.0,-0.0,0.12658058071957595,0.0,-0.0,0.0
UV^3,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3V^3,0.0,0.0,-0.0,0.0,-0.0,-0.0
