Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00013970698423801845,8.676870341300759e-05,0.0,3.867224309023158e-05,1.1531468252377428e-05
del_V,0.0,-9.720867021609303e-05,-2.175399329485807e-05,0.05,0.00010207440146256824,-3.4046588203376065e-06
1,0.005,-0.04867596301780956,-0.054569608457970466,0.0,-0.0,-0.022556094002692255
U,1.0,0.5287828715364784,0.25217018101765554,10.0,0.15811188688111602,0.05703307579226124
V,-1.0,-0.4380741976566879,-0.19748406383239553,-10.0,-0.2806931778529606,-0.12195768165617255
U^2,0.0,0.05697126933396245,0.0,0.0,0.01726365641713914,0.0
V^2,0.0,-0.0,0.0,0.0,-0.2567955109456304,-0.0
UV,0.0,0.0,-0.0,0.0,-0.0,0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,0.0
U^3,-1.0,-0.5535458209074674,-0.06731937018007216,0.0,-0.0,-0.0
V^3,0.0,-0.0,0.0028827255732970553,0.0,-0.0,-0.0
UV^3,0.0,-0.0,0.0,0.0,-0.0,0.0
U^3V,0.0,0.0,-0.0,0.0,-0.0,0.0
U^3V^2,0.0,0.0,-0.0,0.0,-0.0,0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,0.0
U^3V^3,0.0,0.0,-0.0,0.0,-0.0,0.0
