Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.0001393789844751315,2.2037101251911694e-06,0.0,4.011209691307405e-05,3.0265221333208887e-05
del_V,0.0,-9.939462028522743e-05,1.0400522568972099e-05,0.05,0.00010173049084608828,4.110230787016782e-05
1,0.005,-0.05074386871068036,-0.004315489411074224,0.0,-0.0,0.07649495281088056
U,1.0,0.5262526454007238,-0.0,10.0,0.1615463974085444,0.04897141544185448
V,-1.0,-0.4263329318358856,-0.028952027643496952,-10.0,-0.27624407116980076,-0.34026954496418116
U^2,0.0,0.0581630534439611,-0.0,0.0,0.02063917679871785,0.0
V^2,0.0,-0.0,-0.0,0.0,-0.2771906636400837,-0.2951185114084121
UV,0.0,0.0,-0.0,0.0,-0.0,-0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5520300176938131,-0.0,0.0,-0.0,-0.0
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,0.0,-0.0,0.0,-0.0,-0.0
