,mae,ssim,hist
0,0.2672291877260259,0.2535084946745926,0.897
1,0.26971656487100193,0.1980021398246315,0.923
2,0.26323053914442585,0.1626358795239016,0.895
3,0.2860773619999601,0.22829962896204165,0.937
4,0.22971094535580575,0.26528284468918584,0.966
5,0.27434788746502525,0.23240987837612018,0.953
6,0.26432766040381916,0.21993831603570987,0.981
7,0.26065735925550576,0.27398851726284085,0.969
8,0.2668297458327619,0.24003567052573554,0.893
9,0.2710727976784252,0.22684181951373103,0.964
10,0.29428475743048693,0.22138449723658032,0.941
11,0.2742859675010027,0.24555442687133033,0.969
12,0.2563069101024634,0.26805009594558804,0.908
13,0.28252456552180183,0.26646831132800386,0.937
14,0.2507651005647617,0.29732314547747657,0.981
15,0.2741411429384675,0.25222149038284136,0.927
16,0.2560302276254501,0.3471136961669412,0.978
17,0.25045280134490466,0.2872965957413877,0.966
18,0.27543021807533496,0.2558079638569968,0.966
19,0.25644321724335944,0.23830578022531942,0.99
20,0.27297527734262494,0.2725252363420982,0.952
21,0.2590063071932362,0.3018936484259864,0.969
22,0.28570167777584415,0.2629026664275617,0.957
23,0.28216308192857736,0.21018408148478765,0.893
24,0.26912696838568934,0.2300445446577185,0.952
25,0.2475852913922922,0.24968192777506362,0.982
26,0.29560874510082563,0.15479125159325435,0.846
27,0.28225001565211283,0.21283385959903278,0.947
28,0.2845507633837211,0.2095569742366074,0.902
29,0.2654553150599624,0.20738870031262407,0.91
30,0.2655283628349531,0.21494985737066066,0.917
31,0.2623249439453913,0.2707200629883825,0.945
32,0.29426939630769855,0.14921521482407007,0.914
33,0.2627869860144621,0.24629089295252093,0.902
34,0.3173370578036938,0.1781159384845735,0.82
35,0.286129081129623,0.21004524856962845,0.874
36,0.27665047991242897,0.21227826510435163,0.956
37,0.26175625606401687,0.20620936950796365,0.947
38,0.28712228080957286,0.13478531380232991,0.856
39,0.27871837742761,0.19012020819855086,0.907
40,0.29906400327051474,0.18801896960156161,0.891
41,0.22902348160935207,0.35028476662513736,0.979
42,0.2696535974939167,0.2599725492802782,0.975
43,0.25295675549185137,0.2550899135171026,0.92
44,0.26484027988453096,0.2753425773686618,0.958
45,0.2746109583790033,0.27068681440069253,0.964
46,0.26980639113732874,0.30846802170094834,0.964
47,0.26836131964351345,0.25565834004045784,0.979
48,0.29679781112092013,0.18808920142210314,0.94
49,0.24488224077572018,0.2656080818893905,0.967
50,0.24604107026671612,0.250583858404509,0.936
51,0.27192516242288706,0.24765053647570243,0.911
52,0.2806954404575284,0.25839554987406815,0.958
53,0.25602006283549994,0.2658190343858696,0.96
54,0.2492454071110283,0.2761280918932794,0.963
55,0.24612931153404702,0.3874783268948315,0.986
56,0.26246526405997866,0.24944594771820164,0.906
57,0.2580658118627336,0.22517692185378943,0.935
58,0.29190990536422806,0.20545971861202966,0.913
59,0.23955772479727624,0.32845068722011006,0.98
60,0.2697800211479701,0.2850639922078662,0.959
61,0.2594134504180567,0.36232416615834345,0.952
62,0.28010287742699236,0.24730793560915015,0.947
63,0.311329442633538,0.12161540130803225,0.946
64,0.31038704221791014,0.16906826838859934,0.83
65,0.26440481765435847,0.2816186378955633,0.943
66,0.23742463755745194,0.31266698491228295,0.97
67,0.26851622255674484,0.22605802222160828,0.938
68,0.281950961533192,0.2567543344527099,0.97
69,0.2549510930872016,0.28445186146452034,0.967
70,0.2668766921131467,0.21711304080174887,0.877
71,0.26578933161018353,0.2712730451000173,0.963
72,0.279066618183917,0.18153630163869067,0.971
73,0.29086221218170094,0.25288636652487306,0.97
74,0.2661359795015778,0.20745182841358917,0.928
75,0.25902713237793606,0.2200725072662539,0.969
76,0.2684622239038514,0.30890122923724916,0.979
77,0.2659544682063886,0.2917911900734809,0.98
78,0.27319258865930723,0.191729608968569,0.909
79,0.2899158822902972,0.20563305804137108,0.862
80,0.23215053144523046,0.31952823565167054,0.959
81,0.2569679509984191,0.312932508896777,0.95
82,0.26465209954202396,0.24134439588358103,0.917
83,0.2652311445529845,0.28003623851456,0.946
84,0.28189263729615216,0.1781335611081198,0.934
85,0.2524229461626048,0.3082385116230763,0.925
86,0.26990226333242745,0.25300668216236105,0.908
87,0.28625255867380967,0.207456361921033,0.898
88,0.28503803137836486,0.2222862234120207,0.914
89,0.29733653356135653,0.11662255460000479,0.838
90,0.2495623646141401,0.26866313060499836,0.944
91,0.27516403151575913,0.23441375357618746,0.963
92,0.26841646628612,0.20168852725987718,0.816
93,0.2893397663399057,0.20321717870067643,0.925
94,0.2732943929308466,0.21391331826614568,0.913
95,0.28721816651801296,0.24670571878455708,0.947
96,0.24542658748711116,0.2534503007944839,0.957
97,0.2404451080207116,0.2783798259600402,0.962
98,0.2428935323593514,0.2626976056349428,0.948
99,0.25226333246234983,0.2714848444444859,0.903
