Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00013904055519545642,0.00014246041736838648,0.0,4.0196127665336825e-05,3.63514504984764e-05
del_V,0.0,-9.72116456554222e-05,-7.716749104006548e-05,0.05,0.00010126400355247099,5.876757388383126e-05
1,0.005,-0.04935569904231054,-0.05589692387462956,0.0,-0.0,-0.00862938813020669
U,1.0,0.5231024447152169,0.4905229675530288,10.0,0.1615989574557802,0.13227499910548182
V,-1.0,-0.4291560954077549,-0.3822885156295927,-10.0,-0.2783393273986136,-0.131936634140437
U^2,0.0,0.057747976810489966,0.04930709351411855,0.0,0.015327693602840265,0.02728066836709129
V^2,0.0,-0.0,-0.0,0.0,-0.27030619554137375,-0.45860706502756765
UV,0.0,0.0,0.0,0.0,-0.0,-0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5424423495600075,-0.4875696272279507,0.0,-0.0,-0.0
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
